GEOID,County,pop_2010,pop_2012,pop_2014,pop_2016,pop_2018
A55001,Adams,20882,20419,20129,19971,20348
A55003,Ashland,16143,15839,15998,15638,15600
A55005,Barron,45810,45767,45343,45233,45164
A55007,Bayfield,15005,15061,14975,14931,15042
A55009,Brown,248484,252686,256245,259546,263378
A55011,Buffalo,13550,13342,13230,13132,13125
A55013,Burnett,15430,15337,15230,15219,15392
A55015,Calumet,49031,49640,49472,49600,50159
A55017,Chippewa,62640,63048,63334,63526,64135
A55019,Clark,34683,34440,34354,34475,34709
A55021,Columbia,56849,56464,56638,56865,57358
A55023,Crawford,16633,16516,16347,16250,16291
A55025,Dane,489200,502891,516338,530885,542364
A55027,Dodge,88738,88181,88090,87364,87847
A55029,Door,27750,27534,27466,27331,27610
A55031,Douglas,44134,43748,43641,43351,43208
A55033,Dunn,43887,43804,44076,44337,45131
A55035,Eau Claire,99014,100829,101688,102941,104534
A55037,Florence,4398,4367,4345,4323,4321
A55039,Fond du Lac,101581,101785,101986,102201,103066
A55041,Forest,9296,9157,9102,9022,8991
A55043,Grant,51233,50867,51681,52014,51554
A55045,Green,36861,36759,36856,36770,36929
A55047,Green Lake,19022,19003,18759,18613,18918
A55049,Iowa,23693,23579,23585,23438,23771
A55051,Iron,5924,5888,5859,5650,5676
A55053,Jackson,20464,20491,20577,20480,20478
A55055,Jefferson,83719,84351,84369,84485,85129
A55057,Juneau,26673,26769,26338,26348,26617
A55059,Kenosha,166625,167220,167856,167954,169290
A55061,Kewaunee,20557,20499,20336,20367,20383
A55063,La Crosse,114875,116541,117446,117733,118230
A55065,Lafayette,16810,16801,16778,16750,16665
A55067,Langlade,19964,19620,19252,19079,19268
A55069,Lincoln,28777,28499,28104,27821,27689
A55071,Manitowoc,81329,80723,79959,79365,79074
A55073,Marathon,134049,134363,135131,135057,135428
A55075,Marinette,41662,41347,41047,40259,40434
A55077,Marquette,15379,15243,15071,15129,15434
A55078,Menominee,4269,4361,4504,4559,4658
A55079,Milwaukee,948301,954606,958546,955057,948201
A55081,Monroe,44813,45003,45158,45376,46051
A55083,Oconto,37717,37417,37463,37481,37830
A55085,Oneida,35948,35669,35323,35339,35470
A55087,Outagamie,176913,179003,182170,184755,187365
A55089,Ozaukee,86376,87108,87580,88327,89147
A55091,Pepin,7472,7373,7297,7243,7289
A55093,Pierce,41080,40712,41028,41409,42555
A55095,Polk,44159,43519,43331,43216,43598
A55097,Portage,70025,70414,70521,70425,70942
A55099,Price,14097,13844,13656,13414,13397
A55101,Racine,195405,194608,194833,194913,196584
A55103,Richland,18016,17806,17745,17528,17377
A55105,Rock,160272,160065,160950,161394,163129
A55107,Rusk,14730,14304,14350,14111,14147
A55109,St. Croix,84406,85037,86544,87603,89694
A55111,Sauk,62061,62385,62975,63572,64249
A55113,Sawyer,16556,16520,16361,16321,16489
A55115,Shawano,41938,41504,41347,40959,40796
A55117,Sheboygan,115521,114767,114998,115099,115456
A55119,Taylor,20660,20369,20415,20299,20412
A55121,Trempealeau,28847,29289,29409,29535,29442
A55123,Vernon,29771,30023,30190,30552,30785
A55125,Vilas,21441,21298,21403,21483,21938
A55127,Walworth,102198,102883,103193,102686,103718
A55129,Washburn,15932,15848,15658,15621,15878
A55131,Washington,131987,132728,133600,134386,135693
A55133,Waukesha,390020,392799,395431,398561,403072
A55135,Waupaca,52397,51930,51948,51308,51128
A55137,Waushara,24514,24417,24093,24090,24263
A55139,Winnebago,167069,168507,169330,169637,171020
A55141,Wood,74814,74321,73593,73246,73055
